Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Co2YGa,Co,Y,Ga,l21,1.005552,-0.21151275,6.196187219,4.3328,0,5.8432,0.005501,0,0,0,0,0,24
Co2YGe,Co,Y,Ge,l21,1.066366,-0.228472,6.193058979,425.5939,0,6.7582,0.905356,0,0,0.005,0,0.005,25
Co2YIn,Co,Y,In,l21,1.247154,-0.109952,6.425523161,4.2885,0,6.4453,0.017048,0,0,0,0,0,24
Co2YPb,Co,Y,Pb,l21,1.264002,0.01259275,6.518253145,271.4378,0,6.6067,0.765928,0,0,0.004,0,0.004,25
Co2YSb,Co,Y,Sb,l21,1.660922,-0.26914675,6.427537001,30.6628,0,8.4158,1,0,0,0.006,0,0.006,26
Co2YSi,Co,Y,Si,l21,1.33296,-0.28452325,6.109220156,14.779,0,7.6826,0.99479,0,0,0.005,0,0.005,25
Co2YSn,Co,Y,Sn,l21,1.563499,-0.24186675,6.423111927,17.4259,0,6.7759,0.795853,0,0,0.004,0,0.004,25
Co2ZnAl,Co,Zn,Al,l21,0.767527,-0.28554225,5.717837967,0.1935,0,7.6235,0.000258,0,0,0,0,0,23
Co2ZnAs,Co,Zn,As,l21,1.287124,-0.017584,5.789138372,379.6442,255.002,8.1887,0.169855,0.703,0.703,-0.032,0.002,1.376,25
Co2ZnB,Co,Zn,B,l21,1.005975,0.1681435,5.377856784,1.2859,0,7.6308,0.000176,0,0,0,0,0,23
Co2ZnBi,Co,Zn,Bi,l21,1.177715,0.3148985,6.18910908,402.98,250.502,8.1003,0.075878,0.786,0.786,-0.031,-0.035,1.506,25
Co2ZnGa,Co,Zn,Ga,l21,0.774879,-0.17689775,5.736593267,1.095,0,6.2125,0.00023,0.002,0.002,0,0,0.004,23
Co2ZnGe,Co,Zn,Ge,l21,1.318472,-0.130366,5.73661448,8.7246,0,7.8678,0.138243,0.022,0.022,-0.001,-0.001,0.042,24
Co2ZnIn,Co,Zn,In,l21,0.837397,0.07323425,5.997494456,17.6437,0,6.8544,0.000172,0.001,0.001,0,0,0.002,23
Co2ZnPb,Co,Zn,Pb,l21,1.115129,0.3150355,6.110152123,28.5703,0,7.2985,0.468037,0.369,0.369,-0.019,-0.038,0.681,24
Co2ZnSb,Co,Zn,Sb,l21,1.44976,0.02332125,6.013377489,162.6344,283.502,9.3247,0.332162,0.718,0.718,-0.021,-0.002,1.413,25
Co2ZnSi,Co,Zn,Si,l21,1.500093,-0.3181645,5.618096313,1.4547,0,9.2021,0.007024,0.002,0.002,0,0,0.004,24
Co2ZnSn,Co,Zn,Sn,l21,1.214943,-0.0152295,5.992816238,24.7938,0,7.6435,0.532529,0.266,0.266,-0.014,-0.027,0.491,24
Co2ZrAl,Co,Zr,Al,l21,1.757623,-0.52467825,6.06041706,130.7241,165.002,9.5658,0.96375,0.599,0.599,-0.095,-0.003,1.1,25
Co2ZrAs,Co,Zr,As,l21,0.720355,-0.26530725,6.073615915,552.7328,0,10.3966,0.890385,0.853,0.853,-0.081,0.043,1.668,27
Co2ZrB,Co,Zr,B,l21,0.483521,0.03977425,5.73739654,332.2286,0,9.8194,0.933098,0.544,0.544,-0.082,0.024,1.03,25
Co2ZrBi,Co,Zr,Bi,l21,1.422048,0.00140825,6.410215714,390.5571,103.502,10.2587,0.876811,0.91,0.91,-0.082,0.022,1.76,27
Co2ZrGa,Co,Zr,Ga,l21,1.371342,-0.4493585,6.053239926,121.8742,132.002,8.4041,0.951781,0.592,0.592,-0.1,-0.013,1.071,25
Co2ZrGe,Co,Zr,Ge,l21,1.30483,-0.4244105,6.063983707,85.0615,444.002,9.5923,1,1.059,1.059,-0.086,0.035,2.067,26
Co2ZrIn,Co,Zr,In,l21,1.894114,-0.27736775,6.271812289,104.1172,0,8.8086,0.858669,0.639,0.639,-0.127,-0.039,1.112,25
Co2ZrPb,Co,Zr,Pb,l21,1.609323,-0.0708385,6.369262917,47.7042,385.502,9.1907,0.990858,1.092,1.092,-0.103,0.01,2.091,26
Co2ZrSb,Co,Zr,Sb,l21,1.558586,-0.28972525,6.260406657,285.7989,0,11.3068,0.923402,0.798,0.798,-0.054,0.026,1.568,27
Co2ZrSi,Co,Zr,Si,l21,1.459971,-0.5294365,5.980211352,86.9051,478.502,10.6559,1,1.047,1.047,-0.068,0.036,2.062,26
Co2ZrSn,Co,Zr,Sn,l21,1.856348,-0.38076475,6.280498389,69.987,397.502,9.4248,1,1.082,1.082,-0.088,0.01,2.086,26
Cr2AgAl,Cr,Ag,Al,xa,-0.59759,0.216384,6.222675439,15.7151,627.002,8.7966,0.047593,3.132,-2.8,0.072,-0.001,0.403,16
Cr2AgAs,Cr,Ag,As,xa,-0.173886,0.38322025,6.354461758,317.9076,1081.5,8.358,0.086664,3.402,-3.238,0.038,0.013,0.215,18
Cr2AgB,Cr,Ag,B,xa,-0.282699,0.8292375,5.846081681,100.4019,1614.8,9.276,0.097477,2.75,-2.268,0.1,0.036,0.618,16
Cr2AgBi,Cr,Ag,Bi,xa,-0.054299,0.51237375,6.770390452,354.0666,0,8.0034,0.207249,3.679,-3.528,0.037,-0.007,0.181,18
Cr2AgGa,Cr,Ag,Ga,xa,-0.358186,0.26511125,6.250289373,2.6624,727.502,7.5565,0.071004,3.222,-2.996,0.062,-0.02,0.268,16
Cr2AgGe,Cr,Ag,Ge,xa,-0.061632,0.34792875,6.273121851,63.6155,1291.4,8.3118,0.1257,3.269,-2.998,0.053,0.016,0.34,17
Cr2AgIn,Cr,Ag,In,xa,-0.422677,0.33430625,6.517144401,29.5815,684.002,7.7411,0.075091,3.444,-3.357,0.043,-0.067,0.063,16
Cr2AgPb,Cr,Ag,Pb,xa,-0.195569,0.52699675,6.684902657,67.2662,853.502,7.4937,0.01539,3.612,-3.492,0.036,-0.04,0.116,17
Cr2AgSb,Cr,Ag,Sb,xa,-0.071239,0.37858475,6.569975177,376.8264,1098,9.1915,0.222694,3.519,-3.292,0.037,0.016,0.28,18
Cr2AgSi,Cr,Ag,Si,xa,-0.132914,0.3119085,6.106721241,150.425,811.502,9.795,0.044231,2.996,-2.401,0.072,0.02,0.687,17
Cr2AgSn,Cr,Ag,Sn,xa,-0.179804,0.333281,6.521016518,37.4492,1452,8.1195,0.149715,3.437,-3.249,0.04,-0.028,0.2,17
Cr2AuAl,Cr,Au,Al,xa,-0.581834,0.03811675,6.210575428,554.5452,417.002,9.3085,0.096979,3.142,-2.715,0.084,0.001,0.512,16
Cr2AuAs,Cr,Au,As,l21,0.364013,0.24528075,6.460478278,47.8583,1050,8.2505,0.272429,3.616,3.616,0.092,-0.125,7.199,18
Cr2AuB,Cr,Au,B,xa,-0.215999,0.70893075,5.816738164,256.4937,1423.4,10.0747,0.529165,2.676,-1.105,0.192,0.037,1.8,16
Cr2AuBi,Cr,Au,Bi,l21,0.233077,0.39660425,6.805311628,554.3995,5600.01,8.0902,0.625409,3.724,3.724,0.051,-0.16,7.339,18
Cr2AuGa,Cr,Au,Ga,xa,-0.238922,0.128173,6.248858189,266.1744,627.002,7.9733,0.169508,3.232,-3.002,0.06,-0.013,0.277,16
Cr2AuGe,Cr,Au,Ge,l21,0.137045,0.236282,6.359912137,387.6982,2334.01,8.3126,0.410166,3.294,3.294,0.083,-0.157,6.514,17
Cr2AuIn,Cr,Au,In,xa,-0.268179,0.21064075,6.517048235,7.0829,612.002,8.0721,0.013752,3.454,-3.366,0.04,-0.051,0.077,16
Cr2AuPb,Cr,Au,Pb,l21,0.027261,0.441418,6.689319245,186.6119,316.502,7.7315,0.707093,3.472,3.472,0.037,-0.194,6.787,17
Cr2AuSb,Cr,Au,Sb,l21,0.264711,0.2743835,6.648765257,235.1552,1006.5,9.105,0.364493,3.624,3.624,0.072,-0.114,7.206,18
Cr2AuSi,Cr,Au,Si,xa,-0.175726,0.22219825,6.109744829,465.9825,543.002,10.2767,0.017178,3.046,-2.097,0.094,0.029,1.072,17
Cr2AuSn,Cr,Au,Sn,xa,-0.018723,0.253057,6.537114511,316.5628,531.002,8.4083,0.201154,3.482,-3.289,0.033,-0.019,0.207,17
Cr2CdAl,Cr,Cd,Al,xa,-0.27015,0.281308,6.320342442,7.2716,1084.5,7.0156,0.068918,3.089,-2.882,0.035,-0.007,0.235,17
Cr2CdAs,Cr,Cd,As,xa,-0.164971,0.45236675,6.503170557,5.5396,1139.6,6.518,0.136121,3.463,-3.237,0.041,0.026,0.293,19
Cr2CdB,Cr,Cd,B,xa,-0.099457,0.90661925,5.960262456,155.3048,1056,6.9978,0.188009,2.706,-2.634,0.035,0.006,0.113,17
Cr2CdBi,Cr,Cd,Bi,l21,0.075774,0.55670575,6.94629882,37.6791,5040.01,6.507,0.199096,3.764,3.764,-0.023,-0.138,7.367,19
Cr2CdGa,Cr,Cd,Ga,xa,-0.119517,0.32765925,6.362812689,119.7214,1018.5,5.8147,0.109794,3.228,-3.111,0.032,-0.025,0.124,17
Cr2CdGe,Cr,Cd,Ge,l21,0.008536,0.42253,6.309677857,112.2831,2922.01,6.9544,0.287358,2.704,2.704,0.009,-0.106,5.311,18
Cr2CdIn,Cr,Cd,In,xa,-0.159874,0.387725,6.634355835,1.9052,991.502,6.218,0.03483,3.458,-3.395,0.028,-0.066,0.025,17
Cr2CdPb,Cr,Cd,Pb,l21,0.034466,0.572469,6.866020987,572.914,1098,5.9024,0.59652,3.719,3.719,-0.007,-0.145,7.286,18
Cr2CdSb,Cr,Cd,Sb,xa,-0.105366,0.48801575,6.741841723,165.5628,1057.5,7.3469,0.036486,3.588,-3.375,0.029,0.03,0.272,19
Cr2CdSi,Cr,Cd,Si,l21,0.109994,0.38525075,6.184938564,293.5939,90.0015,7.9888,0.42257,2.537,2.537,0.025,-0.1,4.999,18
Cr2CdSn,Cr,Cd,Sn,l21,0.048676,0.41190075,6.688928923,138.1861,99.0015,6.4473,0.075765,3.519,3.519,-0.017,-0.159,6.862,18
Cr2CoAl,Cr,Co,Al,xa,-1.117229,-0.08018275,5.771418276,164.0034,976.502,9.791,0.957833,1.55,-1.69,0.27,-0.015,0.115,24
Cr2CoAs,Cr,Co,As,xa,-0.382265,0.0481045,5.773566466,73.6976,714.002,10.5083,0.890973,2.157,-1.081,0.898,0.016,1.99,26
Cr2CoB,Cr,Co,B,xa,-0.485507,0.16780725,5.383062504,27.7106,0,10.6105,0.125666,-0.066,0.09,0.026,-0.001,0.049,24
Cr2CoBi,Cr,Co,Bi,xa,-1.001409,0.506238,6.236946268,252.1017,759.002,9.8019,0.953278,2.96,-2.105,1.088,-0.009,1.934,26
Cr2CoGa,Cr,Co,Ga,xa,-0.934149,0.0035535,5.799425361,159.0849,1015.5,8.3357,0.888142,1.768,-1.969,0.373,-0.06,0.112,24
Cr2CoGe,Cr,Co,Ge,xa,-0.696488,-0.00889225,5.784759967,9.9728,732.002,9.6133,0.909593,1.999,-1.527,0.603,-0.022,1.053,25
Cr2CoIn,Cr,Co,In,xa,-1.202561,0.292665,6.111530981,41.2304,1183.6,8.4426,0.810464,2.476,-2.739,0.55,-0.121,0.166,24
Cr2CoPb,Cr,Co,Pb,xa,-1.126227,0.4968825,6.217915196,257.0598,1190.2,8.6674,0.753261,2.886,-2.61,0.826,-0.066,1.036,25
Cr2CoSb,Cr,Co,Sb,xa,-0.906012,0.16392125,6.038434524,45.4891,1059,11.0558,0.941252,2.523,-1.511,0.987,-0.002,1.997,26
Cr2CoSi,Cr,Co,Si,xa,-0.770797,-0.2148875,5.647113146,126.4983,622.502,11.1191,0.953495,1.392,-0.882,0.549,-0.011,1.048,25
Cr2CoSn,Cr,Co,Sn,xa,-1.107775,0.17450375,6.085942201,91.4179,1471.8,9.0803,0.881906,2.594,-2.272,0.776,-0.071,1.027,25
Cr2CrAl,Cr,Cr,Al,xa,-0.000285,-0.02416075,5.903039132,74.3158,1059,9.6043,0.634847,-1.566,2.144,2.144,-0.014,2.708,21
Cr2CrAs,Cr,Cr,As,l21,0.000163,0.0951915,5.832529272,160.399,708.002,10.8452,0.864777,1.399,1.399,-1.822,-0.051,0.925,23
Cr2CrB,Cr,Cr,B,l21,0.013936,0.15814675,5.43868918,7.8436,0,10.8077,0.084446,0.015,0.015,-0.016,-0.001,0.013,21
Cr2CrBi,Cr,Cr,Bi,l21,0.001004,0.6122625,6.537369069,168.2656,0,8.8223,0.675402,3.233,3.233,-3.258,-0.074,3.134,23
Cr2CrGa,Cr,Cr,Ga,xa,-0.000684,0.03038575,5.908483854,15.2941,0,8.4011,0.07405,-1.662,2.188,2.188,0.001,2.715,21
Cr2CrGe,Cr,Cr,Ge,xa,-0.000217,0.037751,5.856982439,570.745,0,10.0088,0.918211,-1.547,1.711,1.711,-0.024,1.851,22
Cr2CrIn,Cr,Cr,In,l21,0.000001,0.33738425,6.232225623,20.7287,1370.6,8.5424,0.740008,2.625,2.625,-2.455,0.024,2.819,21
Cr2CrPb,Cr,Cr,Pb,l21,0.000451,0.58556225,6.337235223,23.1841,1331,8.8592,0.587577,2.497,2.497,-2.885,-0.04,2.069,22
Cr2CrSb,Cr,Cr,Sb,l21,0.000049,0.27481775,6.120144956,186.3967,955.502,11.2089,0.97938,1.688,1.688,-2.378,-0.051,0.947,23
Cr2CrSi,Cr,Cr,Si,l21,0.000146,-0.16854825,5.712521938,456.5214,198.002,11.3763,0.070577,1.19,1.19,-0.832,-0.02,1.528,22
Cr2CrSn,Cr,Cr,Sn,l21,0.000401,0.26985225,6.180534703,40.0214,1403.6,9.3924,0.969664,2.194,2.194,-2.464,-0.011,1.913,22
Cr2CuAl,Cr,Cu,Al,xa,-0.880488,0.077044,5.893167922,40.1937,741.002,8.9275,0.460581,2.472,-1.615,0.151,-0.001,1.007,16
Cr2CuAs,Cr,Cu,As,l21,0.031181,0.24348575,5.938340731,184.9126,858.002,9.2922,0.160951,2.203,2.203,0.12,-0.065,4.461,18
Cr2CuB,Cr,Cu,B,l21,0.218694,0.433535,5.465000623,339.67,0,9.6442,0.403728,0.539,0.539,-0.004,-0.026,1.048,16
Cr2CuBi,Cr,Cu,Bi,xa,-0.494795,0.51042175,6.495096812,142.5312,1002,8.2627,0.091354,3.431,-3.263,0.022,-0.025,0.165,18
Cr2CuGa,Cr,Cu,Ga,xa,-0.629825,0.14270525,5.951007842,18.2486,747.002,7.4978,0.013052,2.709,-2.372,0.099,-0.021,0.415,16
Cr2CuGe,Cr,Cu,Ge,xa,-0.152176,0.18815375,5.926003132,22.3831,657.002,8.7147,0.061262,2.59,-2.015,0.09,0,0.665,17
Cr2CuIn,Cr,Cu,In,xa,-0.546253,0.306574,6.26869112,14.5852,639.002,7.6515,0.12219,3.156,-3.06,0.053,-0.073,0.076,16
Cr2CuPb,Cr,Cu,Pb,xa,-0.342979,0.51735525,6.414073688,79.7506,982.502,7.6172,0.155356,3.352,-3.203,0.035,-0.046,0.138,17
Cr2CuSb,Cr,Cu,Sb,xa,-0.278,0.29531875,6.244803639,243.4623,0,9.7551,0.175368,3.044,-2.757,0.019,0.002,0.308,18
Cr2CuSi,Cr,Cu,Si,xa,-0.295201,0.0415065,5.76053166,60.4482,703.502,10.2828,0.448373,1.949,-1.279,0.091,-0.006,0.755,17
Cr2CuSn,Cr,Cu,Sn,xa,-0.362699,0.26522425,6.248886473,56.7393,1188,8.1935,0.125455,3.063,-2.863,0.046,-0.046,0.2,17
Cr2FeAl,Cr,Fe,Al,xa,-0.969,-0.06869575,5.748481146,152.061,565.502,10.3949,0.916262,-1.078,1.386,0.688,-0.002,0.994,23
Cr2FeAs,Cr,Fe,As,xa,-0.052896,0.076013,5.74305198,150.3088,361.502,11.0558,0.957731,1.793,-0.83,-0.014,0.022,0.971,25
Cr2FeB,Cr,Fe,B,xa,-0.248052,0.1249185,5.386688547,261.1266,687.002,11.0326,0.608378,-0.445,0.877,0.585,-0.023,0.994,23
Cr2FeBi,Cr,Fe,Bi,xa,-0.413076,0.58773375,6.220554119,94.8289,918.002,10.0391,0.952808,2.773,-2.373,0.624,-0.034,0.99,25
Cr2FeGa,Cr,Fe,Ga,xa,-0.788431,0.025014,5.770334988,322.2997,642.002,9.0059,0.949342,-1.28,1.567,0.675,0.012,0.974,23
Cr2FeGe,Cr,Fe,Ge,xa,-0.154647,0.019459,5.7547051,313.3462,408.002,10.218,0.904335,1.535,-1.243,-0.284,0.001,0.009,24
Cr2FeIn,Cr,Fe,In,xa,-0.480295,0.377047,6.096200906,341.761,1083,8.9796,0.950758,-2.331,2.454,0.834,0.043,1,23
Cr2FePb,Cr,Fe,Pb,xa,-0.293687,0.5977535,6.200531683,179.3258,1053,9.0039,0.936289,2.763,-2.57,-0.145,-0.033,0.015,24
Cr2FeSb,Cr,Fe,Sb,xa,-0.291335,0.23542075,6.027369718,111.5533,1066.5,11.3756,0.976698,2.367,-1.685,0.323,0.002,1.007,25
Cr2FeSi,Cr,Fe,Si,xa,-0.368208,-0.22183775,5.612974031,156.6983,0,11.7932,0.113823,-0.054,0.057,0.026,0,0.029,24
Cr2FeSn,Cr,Fe,Sn,xa,-0.270017,0.25969475,6.064926987,166.8728,1227.6,9.5237,0.963173,-2.371,2.137,0.216,0.031,0.013,24
Cr2HfAl,Cr,Hf,Al,l21,0.292803,0.04560625,6.284209285,201.0402,507.002,7.3881,0.644018,2.269,2.269,0.08,-0.049,4.569,19
Cr2HfAs,Cr,Hf,As,l21,0.771178,0.03964625,6.13084631,284.8045,0,8.9259,0.88244,1.565,1.565,-0.146,-0.044,2.94,21
Cr2HfB,Cr,Hf,B,xa,-0.779932,0.3407455,5.840137741,84.4792,0,8.451,0.003524,-0.002,0.002,0,0,0,19
Cr2HfBi,Cr,Hf,Bi,l21,0.805701,0.38156225,6.487310152,462.2059,747.002,9.0053,0.912873,1.659,1.659,-0.294,-0.055,2.969,21
Cr2HfGa,Cr,Hf,Ga,l21,0.103076,0.08812125,6.26832201,263.4417,0,6.4263,0.654967,2.275,2.275,0.051,-0.09,4.511,19
Cr2HfGe,Cr,Hf,Ge,l21,0.648227,0.00773,6.192609259,40.8861,0,7.7475,0.825775,1.944,1.944,-0.082,-0.069,3.737,20
Cr2HfIn,Cr,Hf,In,l21,0.363441,0.240106,6.490799017,363.7229,159.002,7.0406,0.784291,2.376,2.376,-0.085,-0.099,4.568,19
Cr2HfPb,Cr,Hf,Pb,l21,0.680228,0.3901295,6.509617957,153.1124,0,7.6938,0.814329,2.062,2.062,-0.257,-0.087,3.78,20
Cr2HfSb,Cr,Hf,Sb,l21,1.224263,0.05561125,6.351124214,632.8734,585.002,9.7497,0.936197,1.591,1.591,-0.219,-0.047,2.916,21
Cr2HfSi,Cr,Hf,Si,l21,0.614525,-0.097515,6.104854479,114.5015,697.502,8.6156,0.255626,1.871,1.871,-0.015,-0.063,3.664,20
Cr2HfSn,Cr,Hf,Sn,l21,0.967832,0.0797055,6.419519825,19.4033,0,7.7938,0.865674,2.011,2.011,-0.169,-0.085,3.768,20
Cr2IrAl,Cr,Ir,Al,xa,-1.19593,-0.2847375,5.97364233,423.821,837.002,9.8166,0.973457,2.087,-2.035,0.002,0.001,0.055,24
Cr2IrAs,Cr,Ir,As,xa,-0.499278,0.077587,5.997631635,365.6732,166.502,10.2469,0.843201,2.555,-0.903,0.084,0.052,1.788,26
Cr2IrB,Cr,Ir,B,xa,-1.197455,0.17530375,5.647141431,277.742,475.502,10.2587,0.864891,1.478,-1.343,-0.067,0.026,0.094,24
Cr2IrBi,Cr,Ir,Bi,xa,-0.777729,0.46416725,6.462625054,203.9686,0,9.3308,0.51879,3.326,-2.738,0.169,0.025,0.782,26
Cr2IrGa,Cr,Ir,Ga,xa,-0.990034,-0.147825,6.009027368,320.2163,873.002,8.4066,0.95766,2.316,-2.259,-0.002,-0.012,0.043,24
Cr2IrGe,Cr,Ir,Ge,xa,-0.92907,-0.0671385,5.993557285,825.9435,390.002,9.5716,0.973628,2.453,-1.573,0.065,0.02,0.965,25
Cr2IrIn,Cr,Ir,In,xa,-0.699617,0.1245345,6.290078272,361.9144,912.002,8.4672,0.846009,2.877,-2.847,0.06,-0.038,0.052,24
Cr2IrPb,Cr,Ir,Pb,xa,-0.524921,0.41061025,6.381672641,507.68,708.002,8.6907,0.668103,3.164,-2.528,0.222,0.008,0.866,25
Cr2IrSb,Cr,Ir,Sb,xa,-0.840547,0.14149225,6.217836,316.7749,445.502,10.9964,0.99937,2.88,-1.224,0.174,0.03,1.86,26
Cr2IrSi,Cr,Ir,Si,xa,-1.155708,-0.26872875,5.871537525,370.4971,525.002,10.9211,0.9749,2.064,-1.141,0.036,0.016,0.975,25
Cr2IrSn,Cr,Ir,Sn,xa,-1.104817,0.0649585,6.254010169,723.2513,928.502,9.1452,0.933656,2.936,-2.187,0.193,-0.009,0.933,25
Cr2MnAl,Cr,Mn,Al,xa,-0.360524,-0.1244015,5.810112573,123.7772,750.002,10.0244,0.976164,-1.411,1.738,1.612,-0.012,1.927,22
Cr2MnAs,Cr,Mn,As,l21,0.177785,-0.02716275,5.841766915,273.1345,393.002,10.4446,0.767053,-1.389,-1.389,2.799,0.081,0.102,24
Cr2MnB,Cr,Mn,B,xa,-0.352988,0.06103125,5.413739624,179.779,571.502,10.7099,0.043321,-0.583,0.988,0.899,-0.028,1.276,22
Cr2MnBi,Cr,Mn,Bi,l21,0.025029,0.50180025,6.272437372,483.6733,829.502,10.0053,0.940279,-1.664,-1.664,3.298,0.061,0.031,24
Cr2MnGa,Cr,Mn,Ga,xa,-0.188784,-0.04488325,5.824192483,151.5956,837.002,8.7735,0.945826,-1.517,1.798,1.657,-0.003,1.935,22
Cr2MnGe,Cr,Mn,Ge,l21,0.003632,-0.03556275,5.899695931,165.4752,0,9.3457,0.903417,1.865,1.865,-2.823,-0.078,0.829,23
Cr2MnIn,Cr,Mn,In,xa,-0.091038,0.274717,6.274451212,52.2285,1159.4,8.3151,0.016664,-2.717,2.958,3.196,-0.006,3.431,22
Cr2MnPb,Cr,Mn,Pb,l21,0.031661,0.49161925,6.302158484,27.2618,670.502,8.7023,0.902983,2.18,2.18,-3.416,-0.067,0.877,23
Cr2MnSb,Cr,Mn,Sb,l21,0.207417,0.14777325,6.116033837,629.0706,772.502,10.9605,0.937191,-1.557,-1.557,3.122,0.069,0.077,24
Cr2MnSi,Cr,Mn,Si,xa,-0.307706,-0.27134125,5.648903541,146.8579,196.502,11.5691,0.492887,-0.599,0.881,0.804,-0.015,1.071,23
Cr2MnSn,Cr,Mn,Sn,l21,0.168919,0.1787045,6.191644765,134.9251,967.502,8.9537,0.91264,2.095,2.095,-3.272,-0.062,0.856,23
Cr2MoAl,Cr,Mo,Al,l21,0.46165,-0.04969775,6.022719783,233.3083,553.502,10.2666,0.158938,1.733,1.733,-0.638,-0.025,2.803,21
Cr2MoAs,Cr,Mo,As,xa,-0.001037,0.17560875,6.032609379,200.3803,292.502,10.7547,0.455563,-1.774,2.012,0.55,-0.048,0.74,23
Cr2MoB,Cr,Mo,B,xa,-0.12435,0.2954645,5.653709039,20.284,0,10.9066,0.000326,0,0,0,0,0,21
Cr2MoBi,Cr,Mo,Bi,xa,-0.161032,0.6552085,6.459254983,263.788,1775.4,10.0223,0.906662,-2.576,2.802,0.704,-0.037,0.893,23
Cr2MoGa,Cr,Mo,Ga,l21,0.424661,0.024103,6.019643869,51.1273,825.002,9.2278,0.04312,1.746,1.746,-0.655,-0.034,2.803,21
Cr2MoGe,Cr,Mo,Ge,l21,0.301129,0.055775,5.978487426,1.1725,988.502,10.5994,0.775947,1.272,1.272,-0.545,-0.038,1.961,22
Cr2MoIn,Cr,Mo,In,l21,0.542673,0.31227275,6.248047844,97.8712,459.002,9.6459,0.783486,1.88,1.88,-0.897,-0.024,2.839,21
Cr2MoPb,Cr,Mo,Pb,l21,0.178117,0.627339,6.295869476,271.8196,397.502,10.1952,0.828744,1.416,1.416,-0.816,-0.03,1.986,22
Cr2MoSb,Cr,Mo,Sb,l21,0.092886,0.29472575,6.159708994,144.5443,147.002,12.2526,0.73281,0.766,0.766,-0.342,-0.021,1.169,23
Cr2MoSi,Cr,Mo,Si,l21,0.25291,-0.1283375,5.888822043,261.8147,0,11.6312,0.663356,1.196,1.196,-0.445,-0.037,1.91,22
Cr2MoSn,Cr,Mo,Sn,l21,0.35948,0.25233525,6.206158839,138.6802,747.002,10.381,0.860036,1.362,1.362,-0.696,-0.031,1.997,22
